Owner,Rooms set,Price,property_image
AGENT,3 BHK Apartment in Mangalya Ophira, 71.78 L,https://static.makaan.com/17/20475605/281/143480609.jpeg?width=460&height=260
AGENT,3 BHK Independent Floor, 55 L,https://www.makaan.com/images/dummy/independent-house-no-image.jpg
AGENT,3 BHK Apartment in ATS Rhapsody, 1.46 Cr,https://static.makaan.com/17/20525808/282/143807468.jpeg?width=460&height=260
AGENT,1 RK Studio Apartment in Paramount Golfforeste Premium Apartments, 20 L,https://static.makaan.com/1/641521/297/golfforeste-premium-apartments-elevation-141810854.jpeg?width=460&height=260
AGENT,2 BHK Apartment in AMBR Ambrosia Luxury Homes, 28.16 L,https://static.makaan.com/1/3159656/297/ambrosia-luxury-homes-elevation-131190713.jpeg?width=460&height=260
AGENT,4 BHK Villa in Sunrise Sun Twilight, 1.7 Cr,https://static.makaan.com/1/672035/298/sun-twilight-bedroom-137836313.jpeg?width=460&height=260
AGENT,3 BHK Apartment in Fusion The Brook, 55.8 L,https://static.makaan.com/17/20435822/285/143288655.jpeg?width=460&height=260
AGENT,3 BHK Villa, 73 L,https://www.makaan.com/images/dummy/independent-house-no-image.jpg
AGENT,4 BHK Villa in Godrej Golf Links Villas, 5.1 Cr,https://static.makaan.com/17/20237879/281/142309848.jpeg?width=460&height=260
AGENT,2 BHK Apartment in House Vihaan Wisteria, 26.71 L,https://static.makaan.com/17/20411572/281/143198495.jpeg?width=460&height=260
AGENT,2 BHK Apartment in Stellar Jeevan, 57.11 L,https://static.makaan.com/17/20279627/281/142522027.jpeg?width=460&height=260
AGENT,3 BHK Apartment, 38.25 L,https://static.makaan.com/17/20739729/281/144948326.jpeg?width=460&height=260
AGENT,3 BHK Apartment in CRC Joyous, 79.9 L,https://static.makaan.com/17/20564508/277/143999430.jpeg?width=460&height=260
AGENT,2 BHK Apartment in Vihaan Vista, 27 L,https://static.makaan.com/17/20408072/283/143193865.jpeg?width=460&height=260
AGENT,3 BHK Apartment, 2 Cr,https://static.makaan.com/17/20545177/281/143894643.jpeg?width=460&height=260
AGENT,3 BHK Apartment in Nirala Aspire, 76 L,https://static.makaan.com/17/20468332/281/143430873.jpeg?width=460&height=260
AGENT,3 BHK Apartment in Express Astra, 94.2 L,https://static.makaan.com/17/20073488/286/141573448.jpeg?width=460&height=260
AGENT,3 BHK Villa in Aambesten Twin Clarus, 54.67 L,https://static.makaan.com/17/0/571/31067595.jpeg?width=460&height=260
AGENT,3 BHK Independent House in Paradise Greens Villas Paradise Greens Villas, 99 L,https://static.makaan.com/17/20731016/281/144898018.jpeg?width=460&height=260
AGENT,2 BHK Apartment in Patel Neotown Phase 1, 49.72 L,https://static.makaan.com/17/20036564/286/141410234.jpeg?width=460&height=260
AGENT,2 BHK Apartment in Gaursons 7th Avenue, 47 L,https://static.makaan.com/17/20327288/285/142742379.jpeg?width=460&height=260
AGENT,2 BHK Apartment in A V Vihaan Galaxy, 25.99 L,https://static.makaan.com/17/20208979/281/142200467.jpeg?width=460&height=260
AGENT,1 BHK Apartment, 17.45 L,https://static.makaan.com/17/19807525/281/140130370.jpeg?width=460&height=260
AGENT,2 BHK Independent House, 25 L,https://static.makaan.com/17/19493328/286/138664819.jpeg?width=460&height=260
AGENT,2 BHK Independent Floor, 25.6 L,https://www.makaan.com/images/dummy/independent-house-no-image.jpg
AGENT,3 BHK Apartment in JMD Elite View Apartments, 34.99 L,https://static.makaan.com/17/20127380/281/141803789.jpeg?width=460&height=260
AGENT,4 BHK Apartment in ATS Rhapsody, 1.8 Cr,https://static.makaan.com/1/1495399/297/rhapsody-images-for-project-129226807.jpeg?width=460&height=260
AGENT,2 BHK Apartment in Parsvnath Parsvnath Panorama, 50 L,https://static.makaan.com/17/9308929/281/42760855.jpeg?width=460&height=260
AGENT,4 BHK Apartment in Migsun Wynn, 78.63 L,https://static.makaan.com/1/781136/298/wynn-kitchen-133099398.jpeg?width=460&height=260
AGENT,3 BHK Apartment in Jaypee Crescent Court, 4.1 Cr,https://static.makaan.com/1/506158/291/crescent-court-others-107630518.jpeg?width=460&height=260
AGENT,2 BHK Apartment in Thv Heritage Floors, 24 L,https://static.makaan.com/1/3048149/297/heritage-floors-elevation-104933391.jpeg?width=460&height=260
AGENT,3 BHK Independent House, 38 L,https://static.makaan.com/17/19757717/281/139892435.jpeg?width=460&height=260
AGENT,4 BHK Apartment in Gaursons The Islands, 2.44 Cr,https://static.makaan.com/17/19361078/286/137969941.jpeg?width=460&height=260
AGENT,Residential Plot, 1.15 Cr,https://www.makaan.com/images/dummy/plot-no-image.jpg
AGENT,3 BHK Apartment in Fusion The Brook, 51 L,https://static.makaan.com/17/20148928/281/141886122.jpeg?width=460&height=260
AGENT,4 BHK Villa, 1.03 Cr,https://static.makaan.com/17/19463860/281/138537836.jpeg?width=460&height=260
AGENT,3 BHK Villa in Aambesten Twin Clarus, 54.98 L,https://static.makaan.com/1/3178455/298/twin-clarus-bathroom-135352416.jpeg?width=460&height=260
AGENT,2 BHK Apartment in Lucky Palm Valley, 24.59 L,https://static.makaan.com/1/1398285/297/palm-valley-images-for-project-130692849.jpeg?width=460&height=260
AGENT,3 BHK Apartment in Ajnara Homes, 77 L,https://static.makaan.com/17/20385244/281/143086982.jpeg?width=460&height=260
AGENT,2 BHK Apartment, 28.25 L,https://www.makaan.com/images/dummy/apartment-no-image.jpg
AGENT,3 BHK Apartment in VVIP Homes, 64.8 L,https://static.makaan.com/17/19372233/281/138025075.jpeg?width=460&height=260
AGENT,3 BHK Apartment in Purvanchal Purvanchal Royal City, 1.15 Cr,https://static.makaan.com/17/20457631/281/143384767.jpeg?width=460&height=260
AGENT,2 BHK Villa, 45 L,https://static.makaan.com/17/20008261/286/141278337.jpeg?width=460&height=260
AGENT,3 BHK Independent House, 57.6 L,https://static.makaan.com/17/19480933/281/138604213.jpeg?width=460&height=260
AGENT,2 BHK Independent Floor, 32 L,https://www.makaan.com/images/dummy/independent-house-no-image.jpg
AGENT,1 BHK Independent House, 42 L,https://www.makaan.com/images/dummy/independent-house-no-image.jpg
AGENT,3 BHK Apartment in Msx Golf Gardenia, 85 L,https://static.makaan.com/1/508982/297/44944848.jpeg?width=460&height=260
AGENT,2 BHK Apartment in Jaypee The Star Court, 1.12 Cr,https://static.makaan.com/17/20237584/285/142311836.jpeg?width=460&height=260
AGENT,2 BHK Apartment in Sikka Kaamya Greens, 53.35 L,https://static.makaan.com/1/661151/298/125900067.jpeg?width=460&height=260
AGENT,3 BHK Apartment in JSS NCR Monarch, 66.49 L,https://static.makaan.com/1/513478/297/monarch-images-for-elevation-of-ncr-monarch-137432609.jpeg?width=460&height=260
AGENT,3 BHK Independent House in Mani Karan Enclave, 40.5 L,https://static.makaan.com/1/3049087/298/karan-enclave-living-area-105085493.jpeg?width=460&height=260
AGENT,4 BHK Villa, 56.99 L,https://www.makaan.com/images/dummy/independent-house-no-image.jpg
AGENT,2 BHK Apartment in AMBR Ambrosia Luxury Homes, 29 L,https://static.makaan.com/17/20708916/281/144781980.jpeg?width=460&height=260
AGENT,1 BHK Apartment in Lucky Palm Green Villas, 18 L,https://static.makaan.com/17/19779073/286/139978459.jpeg?width=460&height=260
AGENT,4 BHK Apartment in Irish Pearls, 1.3 Cr,https://static.makaan.com/17/19661129/282/139421041.jpeg?width=460&height=260
BUILDER,3 BHK Apartment in Paramount Golfforeste Premium Apartments, 70.93 L,https://static.makaan.com/1/641521/297/golfforeste-premium-apartments-elevation-141810854.jpeg?width=460&height=260
BUILDER,3 BHK Apartment in Paramount Golfforeste Premium Apartments, 70.93 L,https://static.makaan.com/1/641521/297/golfforeste-premium-apartments-elevation-141810854.jpeg?width=460&height=260
BUILDER,3 BHK Apartment in Paramount Golfforeste Premium Apartments, 70.93 L,https://static.makaan.com/1/641521/297/golfforeste-premium-apartments-elevation-141810854.jpeg?width=460&height=260
BUILDER,3 BHK Apartment in Paramount Golfforeste Premium Apartments, 70.93 L,https://static.makaan.com/1/641521/297/golfforeste-premium-apartments-elevation-141810854.jpeg?width=460&height=260
BUILDER,3 BHK Apartment in Paramount Golfforeste Premium Apartments, 63.75 L,https://static.makaan.com/1/641521/297/golfforeste-premium-apartments-elevation-141810854.jpeg?width=460&height=260
BUILDER,3 BHK Apartment in Paramount Golfforeste Premium Apartments, 63.75 L,https://static.makaan.com/1/641521/297/golfforeste-premium-apartments-elevation-141810854.jpeg?width=460&height=260
BUILDER,2 BHK Apartment in Paramount Golfforeste Premium Apartments, 51.66 L,https://static.makaan.com/1/641521/297/golfforeste-premium-apartments-elevation-141810854.jpeg?width=460&height=260
BUILDER,2 BHK Apartment in Paramount Golfforeste Premium Apartments, 51.66 L,https://static.makaan.com/1/641521/297/golfforeste-premium-apartments-elevation-141810854.jpeg?width=460&height=260
BUILDER,3 BHK Apartment in RG Luxury Phase 2, 55.22 L,https://static.makaan.com/1/3182874/291/139403226.png?width=460&height=260
BUILDER,3 BHK Apartment in Purvanchal Royal City Phase 2, 1.14 Cr,https://static.makaan.com/1/1960685/298/images-for-mainother-140556033.jpeg?width=460&height=260
VERIFIED OWNER,4 BHK Apartment in ABA Cherry County, 1.2 Cr,https://static.makaan.com/1/505240/298/121730433.jpeg?width=460&height=260
VERIFIED OWNER,3 BHK Villa, 46 L,https://static.makaan.com/17/20728838/281/144889912.jpeg?width=460&height=260
VERIFIED OWNER,3 BHK Apartment in Saviour Green Arch, 1.02 Cr,https://static.makaan.com/1/643827/291/green-arch-others-127335125.jpeg?width=460&height=260
VERIFIED OWNER,Residential Plot, 94 L,https://static.makaan.com/17/19919139/286/140973087.jpeg?width=460&height=260
VERIFIED OWNER,2 BHK Apartment in House Vihaan Wisteria, 26.99 L,https://static.makaan.com/17/19391585/281/138122109.jpeg?width=460&height=260
VERIFIED OWNER,3 BHK Apartment in ACE Group Divino, 1.2 Cr,https://static.makaan.com/17/20592293/285/144163818.jpeg?width=460&height=260
VERIFIED OWNER,2 BHK Apartment in Gaursons 14th Avenue, 52.5 L,https://static.makaan.com/17/19602692/281/140163635.jpeg?width=460&height=260
VERIFIED OWNER,3 BHK Apartment in Saviour Green Arch, 48 L,https://static.makaan.com/1/643827/291/green-arch-others-127335125.jpeg?width=460&height=260
VERIFIED OWNER,Residential Plot, 13 L,https://static.makaan.com/17/20376280/286/144884189.jpeg?width=460&height=260
VERIFIED OWNER,3 BHK Villa, 75.08 L,https://www.makaan.com/images/dummy/independent-house-no-image.jpg
VERIFIED OWNER,3 BHK Apartment in Saviour Green Arch, 72 L,https://static.makaan.com/1/643827/291/green-arch-others-127335125.jpeg?width=460&height=260
VERIFIED OWNER,3 BHK Apartment, 55 L,https://www.makaan.com/images/dummy/apartment-no-image.jpg
VERIFIED OWNER,2 BHK Apartment, 65 L,https://static.makaan.com/17/15609919/286/117061672.jpeg?width=460&height=260
VERIFIED OWNER,2 BHK Apartment, 65 L,https://static.makaan.com/17/15532884/283/116906156.jpeg?width=460&height=260
VERIFIED OWNER,2 BHK Apartment in Apex Court, 43 L,https://static.makaan.com/17/19576041/281/139939408.jpeg?width=460&height=260
VERIFIED OWNER,Residential Plot, 7.28 L,https://static.makaan.com/17/18046416/286/131749272.jpeg?width=460&height=260
AGENT,3 BHK Apartment in Migsun Ultimo, 45 L,https://static.makaan.com/17/19851148/281/140389234.jpeg?width=460&height=260
AGENT,4 BHK Apartment in ATS Green Paradiso, 2 Cr,https://static.makaan.com/17/20071196/285/141564972.jpeg?width=460&height=260
AGENT,4 BHK Apartment in ATS Green Paradiso, 1.95 Cr,https://static.makaan.com/1/1309495/291/green-paradiso-gated-community-129108266.jpeg?width=460&height=260
AGENT,2 BHK Apartment in Dev Sai Sports Home Phase 2, 62.7 L,https://static.makaan.com/1/3070336/298/128670071.jpeg?width=460&height=260
AGENT,4 BHK Apartment in Dev Sai Sports Home Phase 2, 1.09 Cr,https://static.makaan.com/1/3070336/298/128670071.jpeg?width=460&height=260
AGENT,4 BHK Apartment in Dev Sai Sports Home Phase 2, 1.09 Cr,https://static.makaan.com/1/3070336/298/128670071.jpeg?width=460&height=260
AGENT,3 BHK Apartment in Dev Sai Sports Home Phase 2, 92.4 L,https://static.makaan.com/1/3070336/298/128670071.jpeg?width=460&height=260
AGENT,3 BHK Apartment in Dev Sai Sports Home Phase 2, 92.4 L,https://static.makaan.com/1/3070336/298/128670071.jpeg?width=460&height=260
AGENT,3 BHK Apartment in Dev Sai Sports Home Phase 2, 75.07 L,https://static.makaan.com/1/3070336/298/128670071.jpeg?width=460&height=260
AGENT,3 BHK Apartment in Dev Sai Sports Home Phase 2, 75.07 L,https://static.makaan.com/1/3070336/298/128670071.jpeg?width=460&height=260
AGENT,3 BHK Independent House, 83 L,https://static.makaan.com/17/20137599/282/141843599.jpeg?width=460&height=260
AGENT,2 BHK Independent House, 1.85 Cr,https://www.makaan.com/images/dummy/independent-house-no-image.jpg
AGENT,3 BHK Apartment in Fusion The Brook, 52.7 L,https://static.makaan.com/17/20233122/281/142290486.jpeg?width=460&height=260
AGENT,4 BHK Apartment in Fusion The Brook, 85 L,https://static.makaan.com/17/20233121/281/142290664.jpeg?width=460&height=260
AGENT,3 BHK Apartment in Fusion The Brook, 65.23 L,https://static.makaan.com/17/0/569/31067393.jpeg?width=460&height=260
AGENT,2 BHK Apartment in Nirala Estate II, 46.99 L,https://static.makaan.com/17/20233118/286/142290629.jpeg?width=460&height=260
AGENT,2 BHK Apartment in Nirala Estate II, 49.99 L,https://static.makaan.com/17/20233117/286/142290509.jpeg?width=460&height=260
AGENT,3 BHK Apartment in Nirala Estate II, 68.99 L,https://static.makaan.com/17/20233115/286/142290723.jpeg?width=460&height=260
AGENT,5 BHK Apartment in Nirala Estate II, 1.6 Cr,https://static.makaan.com/17/20233114/286/142290730.jpeg?width=460&height=260
AGENT,3 BHK Apartment in Nirala Estate II, 1.03 Cr,https://static.makaan.com/17/20233113/286/142290534.jpeg?width=460&height=260
AGENT,2 BHK Apartment in ACE Group Aquacasa, 64.99 L,https://static.makaan.com/17/20233112/286/142290437.jpeg?width=460&height=260
AGENT,2 BHK Apartment in ACE Group Aquacasa, 72.99 L,https://static.makaan.com/17/20233110/286/142290450.jpeg?width=460&height=260
AGENT,2 BHK Apartment in ACE Group Aquacasa, 65.99 L,https://static.makaan.com/17/20233109/286/142290772.jpeg?width=460&height=260
AGENT,3 BHK Apartment in ACE Group Aquacasa, 78.99 L,https://static.makaan.com/17/20233108/286/142290751.jpeg?width=460&height=260
AGENT,3 BHK Apartment in ACE Group Aquacasa, 86.99 L,https://static.makaan.com/17/20233107/286/142290492.jpeg?width=460&height=260
AGENT,2 BHK Apartment in Express Astra, 63.99 L,https://static.makaan.com/17/20233106/281/142290420.jpeg?width=460&height=260
AGENT,3 BHK Apartment in Express Astra, 74.99 L,https://static.makaan.com/1/3049862/298/astra-dining-area-141342031.jpeg?width=460&height=260
AGENT,3 BHK Apartment in Express Astra, 1.22 Cr,https://static.makaan.com/17/20233104/281/142290464.jpeg?width=460&height=260
AGENT,3 BHK Apartment in Express Astra, 86.99 L,https://static.makaan.com/17/20233103/281/142290736.jpeg?width=460&height=260
AGENT,3 BHK Villa, 75.9 L,https://static.makaan.com/17/20233102/286/142290709.jpeg?width=460&height=260
AGENT,4 BHK Apartment in Express Astra, 1.29 Cr,https://static.makaan.com/17/20233101/281/142290414.jpeg?width=460&height=260
AGENT,3 BHK Villa, 62.7 L,https://static.makaan.com/17/20233099/286/142290777.jpeg?width=460&height=260
AGENT,2 BHK Apartment in Dev Sai Sports Home, 70 L,https://static.makaan.com/17/20233087/285/142290425.jpeg?width=460&height=260
AGENT,3 BHK Apartment in Dev Sai Sports Home, 1.05 Cr,https://static.makaan.com/17/20233085/285/142290434.jpeg?width=460&height=260
AGENT,3 BHK Apartment in Dev Sai Sports Home, 85 L,https://static.makaan.com/17/20233084/285/142290532.jpeg?width=460&height=260
AGENT,4 BHK Apartment in Dev Sai Sports Home, 1.22 Cr,https://static.makaan.com/17/20233081/285/142290393.jpeg?width=460&height=260
AGENT,2 BHK Apartment in ACE Group Divino, 78.69 L,https://static.makaan.com/1/668066/298/132532298.jpeg?width=460&height=260
AGENT,2 BHK Apartment in ACE Group Divino, 78.69 L,https://static.makaan.com/1/668066/298/132532298.jpeg?width=460&height=260
AGENT,4 BHK Apartment in ACE Group Divino, 1.68 Cr,https://static.makaan.com/1/668066/298/132532298.jpeg?width=460&height=260
AGENT,4 BHK Apartment in ACE Group Divino, 1.68 Cr,https://static.makaan.com/1/668066/298/132532298.jpeg?width=460&height=260
AGENT,2 BHK Apartment in ACE Group Divino, 93.31 L,https://static.makaan.com/1/668066/298/132532298.jpeg?width=460&height=260
AGENT,2 BHK Apartment in ACE Group Divino, 93.31 L,https://static.makaan.com/1/668066/298/132532298.jpeg?width=460&height=260
AGENT,3 BHK Apartment in ACE Group Divino, 1.4 Cr,https://static.makaan.com/1/668066/298/132532298.jpeg?width=460&height=260
AGENT,3 BHK Apartment in ACE Group Divino, 1.4 Cr,https://static.makaan.com/1/668066/298/132532298.jpeg?width=460&height=260
