Candidate name,Candidate Age,Candidate Party,So/Wo/Do,Candidate Educations,Candidate A&L,Candidate Self Professions,Candidate Spouse Professions,Candidate Criminal Cases
MANISHBHAI PRAKASHBHAI VASAVA ,"
 30
        ","
IND
 ","

Prakashbhai Shivabhai
        ","


Post Graduate
 From M.A.Gujrat University,Year-2019
","5,61,898 ~5 Lacs+ ",Self tdNA,NA,0
MANJUBEN KARABHAI PINGAL ,"
 39
        ","
IND
 ","

Karabhai Gangabhai Pingal
        ","


Illiterate
 
","65,392 ~65 Thou+ ",Self tdHouse Wife,Labour,0
MANJULABEN RANCHHODBHAI PARMAR ,"
 31
        ","
IND
 ","

Shah Pritkumar
        ","


12th Pass
 12th Pass From Ranjan High School, Bapunagar, Gujarat State Secondary &amp; Higher Secondary Education Board, Year-2009 &amp; P.T.C. From Vision P.T.C. College, Gujarat University, Year-2011
","7,533 ~7 Thou+ ",Self tdHouse Wife,Income From Job,0
MANOJ BABU BUDDHECHA ,"
 30
        ","
IND
 ","

Babu Tribhovan Buddhecha
        ","


5th Pass
 7th Fail From Shri Darbargadh Primary School, Chhaya Year-2004
","9,90,000 ~9 Lacs+ ",Self tdBusiness Rs.448000/-,House Wife,0
MANOJ SORATHIYA ,"
 39
        ","
AAP
 ","

Tulshibhai Nagjibhai Sorathiya
        ","


Others
 Diploma in Pharmacy 2004 Dr. Dayaram Patel college of pharmacy, Bardoli South Gujarat University
","2,34,74,811 ~2 Crore+ ",Self tdImport Export and Textile manufacturing business,Textile manufacturing and handloom (handwork),1
MANSINGHBHAI MERAMANBHAI PARMAR ,"
 42
        ","
BJP
 ","

Meramanbhai Parmar
        ","


Graduate Professional
  LLB From Saurabh Law College, Bhakta Kavi Narsinh Mehta University, Junagadh, Year-2022, B.E. (Chemical Eng.) From Nirma University, Ahmadabad In  Year-2004
","3,26,98,374 ~3 Crore+ ","Self tdTransport, Farming & Construction",Transport & Scrap,0
MANSINH KOHYABHAI CHAUHAN ,"
 72
        ","
BJP
 ","

Kohyabhai Chauhan
        ","


Graduate Professional
 B.Ed From Gujarat University Year 1975, B.A Pass From Gujarat University Year 1973
","3,17,47,621 ~3 Crore+ ",Self tdRetired & Farming & Social Worker,Housewife,1
MANSUKH VAJERAM MAKVANA ,"
 40
        ","
Gujarat Sarva Samaj Party
 ","

Vajeram
        ","


Graduate
 B.A. From Tolani Arts College Adipur, Kutch , Gujarat University,  Year-2001-2003
","19,25,000 ~19 Lacs+ ",Self tdAgriculture,House Wife,1
MANSUKHBHAI HARJIBHAI CHAUHAN ,"
 47
        ","
BSP
 ","

Harjibhai Halabhai Chauhan
        ","


8th Pass
 10th Fail
","10,03,100 ~10 Lacs+ ",Self tdRickshaw Driver,Housewife,0
MANSUKHBHAI MALUBHAI SOLANKI ,"
 57
        ","
IND
 ","

Malubhai Madhubhai
        ","


Literate
 3rd pass from primary school bhavnagar in 1973
","6,05,379 ~6 Lacs+ ",Self tdLabor Contractor,Spouse ,0
MANSUKHBHAI RATANBHAI KATARA ,"
 27
        ","
Bhartiya Tribal Party
 ","

Ratanbhai Katara
        ","


Graduate Professional
 B.P.Ed in 2017 from Kalorex University Ahmedabad
","4,20,596 ~4 Lacs+ ",Self tdAgriculture,Housewife,0
MANSUNGBHAI MASHRUBHAI PARMAR ,"
 33
        ","
BSP
 ","

Masrubhai PArmar
        ","


8th Pass
 8th Pass From Shree Saraswati Vidyalaya, vill Beloth, Banaskantha
","1,08,000 ~1 Lacs+ ",Self td60000 Per Year,60000 Per Year,0
MANSUR AHMAD CHASHMAWALA ,"
 45
        ","
SP
 ","

Nurmohammad Chashmawala
        ","


8th Pass
 8th Pass
","1,00,400 ~1 Lacs+ ",Self td120000/-,NA,0
MANSURI AAISHA ,"
 40
        ","
Log Party
 ","

Mansuri Gulab
        ","


Literate
 
","4,18,000 ~4 Lacs+ ",Self tdBusiness Grocery Store,Job,0
MANSURI SAHILHUSHEN ISMAILBHAI ,"
 43
        ","
IND
 ","

Ismailbhai
        ","


8th Pass
 10th Fail from Shanti niketan School Bharigpur Society Bharuch in 1994
","14,000 ~14 Thou+ ",Self tdGarage Work,NA,0
MANSURI SUHANA ,"
 57
        ","
IND
 ","

Ahmedbhai Mansuri
        ","


10th Pass
 10th Pass From Seth K.G.M Girls Higher Secondary School, Kalol, Year-1981
","19,01,143 ~19 Lacs+ ",Self tdHouse Wife,Nil,0
MANSURI TOFIKBHAI UMARBHAI ,"
 43
        ","
IND
 ","

Mansuri Umarbhai Gajibhai 
        ","


5th Pass
 5th Pass ,May 1998 From Vanraj Madhyavarti Primary Kumar School, Patan
","11,10,000 ~11 Lacs+ ",Self tdDriving & Vehicle Broker,Housewife,7
MANUBHAI JETHABHAI VANKAR ,"
 42
        ","
IND
 ","

Jethbhai Vankar
        ","


12th Pass
 12th Pass in Year 2001, COPA(ITI) in Year 2003, TYBA Fail in Year 2005 
","8,97,869 ~8 Lacs+ ",Self tdAgriculture Labour,Housewife,0
MANUBHAI M. PATEL (FOGWA) ,"
 60
        ","
BJP
 ","

Mohanbhai KemchandDas Patel 
        ","


8th Pass
 8th Pass From  Shree N.V Patel High School Malikpur (Vad) Taluka Vadanagar Dist Mehsana
","6,91,79,013 ~6 Crore+ ",Self tdCostruction Contractor ,Costruction Contractor ,0
MANUBHAI RAMABHAI PATEL ,"
 55
        ","
AAP
 ","

Ramabhai Jethabhai Patel
        ","


8th Pass
 8th pass C.N. School kapadvanj kheda in 1994
","1,49,20,000 ~1 Crore+ ",Self tdAgriculture,Not Applicable,0
