Candidate name,Candidate Age,Candidate Party,So/Wo/Do,Candidate Educations,Candidate A&L,Candidate Self Professions,Candidate Spouse Professions,Candidate Criminal Cases
 ARVINDBHAI SINGABHAI GAMIT ,"
 66
        ","
AAP
 ","

Singabhai Gameet
        ","

10th Pass SSC From Sarwajanik High School Songadh in Year 1975
","56,11,000 ~56 Lacs+ ",Self tdFarmer and Animal Husbandry,Housewife,1
 MAKVANA MAHESHBHAI MERABHAI ,"
 32
        ","
IND
 ","

Merabhai Karshanbhai
        ","


10th Pass
 12th Fail Uttar Buniyadi School ","76,500 ~76 Thou+ ",Self tdAgriculture Labour,House Wife,1
AARJUBI RAUF SHAH ,"
 26
        ","
IND
 ","

Rauf Shah
        ","


10th Pass
 10th Pass
","15,000 ~15 Thou+ ",Self tdHouse wife,Rickshaw Puller,0
AAYSHABANU AABIDHUSEN MALEK ,"
 25
        ","
IND
 ","

Abidhusen Malek
        ","


Post Graduate
 M.Tech Electrical Pass From Charuset Changa","1,80,000 ~1 Lacs+ ",Self td211200,NA,0
ABBASBHAI MOHAMMADSHARIF NODSOLA ,"
 62
        ","
All India Majlis-E-Ittehadul Muslimeen
 ","

Mohammad Sharif Nasiruddin Nodsola
        ","


8th Pass
 8th Pass From Saifi Jubilee Highschool Siddhpur Year 1972
","49,36,400 ~49 Lacs+ ",Self tdFarming,Farming,0
ABDUL BASHIR SHAIKH ,"
 45
        ","
All India Majlis-E-Ittehadul Muslimeen
 ","

Basheer Yasheen Shaikh 
        ","


5th Pass
 7th Fail From Nagar Primary School Surat Year-1983
","1,80,510 ~1 Lacs+ ",Self tdSaree Job Work Business ,Housewife,2
ABDULBHAI ISMAILBHAI MAJGUL ,"
 55
        ","
IND
 ","

Ismailbhai Majgul
        ","


5th Pass
 6th Pass From Shri Talala Sanchalit Talala High School Year 1989
","63,35,000 ~63 Lacs+ ",Self tdFarming,Housewife,1
ABDULSAMAD ABDULMAJID MUNSHI ,"
 54
        ","
BSP
 ","

Abdul Majid Abdul Razzak Munshi
        ","


12th Pass
 12th Anglo Urdu High School Sondagarwar Surat Year 1985-86
","6,28,100 ~6 Lacs+ ",Self tdContractor,House Wife ,0
ABHESINH MOTIBHAI TADVI ,"
 66
        ","
BJP
 ","

Motibhai Tadvi
        ","


10th Pass
 10th Pass From D B Parekh Highschool Sankheda Chota Udepur Secondary Education Gandhiagar Year 1974
","4,02,55,121 ~4 Crore+ ",Self tdFarming/ Business & Income,NA,0
ABJAL MAMADBHAI BHAYA ,"
 28
        ","
IND
 ","

Mamadbhai Bhaya
        ","


8th Pass
 9th pass
","2,61,098 ~2 Lacs+ ",Self tdPrivate Job,Housewife,4
ABU UMAR SHIDA ,"
 60
        ","
IND
 ","

Umar
        ","


10th Pass
 12th Failed high school rajkot
","15,47,535 ~15 Lacs+ ",Self tdFarming,Farming/ House wife,0
ACHARYA KEYUR CHIMANBHAI ,"
 35
        ","
IND
 ","

Acharya Chimanbhai Thobanbhai
        ","


8th Pass
 10th Fail From Girdharnagar, Shahibaug, Higher Secondary School, Ahmedabad. 
","52,44,000 ~52 Lacs+ ",Self tdBusiness,Housewife,0
ACHCHHA SAEEDBHAI YUSUFBHAI ,"
 65
        ","
BSP
 ","

Yusufbhai Hussianbhai Achchha
        ","


5th Pass
 7th Pass From Anglo Urdu Highschool Sondagarvada Surat
","6,07,000 ~6 Lacs+ ",Self tdBusiness,Housewife,0
ADVOCATE JAGDISH MANSHIBHAI GADHAVI ,"
 31
        ","
BSP
 ","

Mansibhai Karsanbhai Gadhavi
        ","


Graduate Professional
 B.Com L.L.B. From Shri K.P. Shah Law College, Jamnagar In Year-March  2020
","38,20,000 ~38 Lacs+ ",Self tdLawer,NA,0
ADVOCATE MAHAMADIQBAL MANJALIYA ,"
 41
        ","
All India Majlis-E-Ittehadul Muslimeen
 ","

Hajimamad
        ","


Graduate Professional
 LLB From DL Law College,Bhuj,Kachchh,SKV Kachchh University ,Year 2007
","57,05,000 ~57 Lacs+ ",Self tdAdvocate,NA,0
AESTARBEN KESHARBHAI PAWAR ,"
 27
        ","
IND
 ","

Kesarbhai bindubhai Pawar
        ","


10th Pass
 11th Pass From Dhutubhara University in Year 2012
","2,10,000 ~2 Lacs+ ",Self tdNA,NA,0
AHIR ANKURBHAI KANUBHAI ,"
 28
        ","
BSP
 ","

Kanubhai Hirabhai Makwana
        ","


10th Pass
 10th Pass From shri Morlidhar Vidyamandir, Alaras Year-2010
","20,000 ~20 Thou+ ",Self tdLabour,NA,1
AHIR HEMANTBHAI HARDASBHAI ,"
 38
        ","
AAP
 ","

Hardas Khava
        ","


10th Pass
 11 th Pass From Shree gunda kenvani mandal sanchalit madhyamik vidyalaya.
","2,63,47,474 ~2 Crore+ ",Self td10% Share In Maruti Infrastructure ,worden  Saujani Kanya CHatyalayaden In Matru Shree,0
AHIR JIVANBHAI K. KUMBHARVADIYA ,"
 52
        ","
INC
 ","

Kumbharvadiya Karubhai Walabhai
        ","


Graduate
 B. Arts From Arts &amp;  Commerce Govt. Collage, Gandhinagar-Gujarat University In Year -1991
","6,89,69,240 ~6 Crore+ ","Self tdPetrol Pump, Restaurant, Agriculture  ",Service,1
AHIR MULUBHAI RANMALBHAI KANDORIYA ,"
 64
        ","
INC
 ","

Ranmalbhai Kandoriya
        ","


Graduate
 Bachelor Of Commerce (Economics) From Saurashtra Univerisity DKV College Jamnagar Year 1978-79
","88,60,50,489 ~88 Crore+ ",Self tdFarming & Business,Farming & Business,0
AHIR VIKRAMBHAI ARJANBHAI MAADAM ,"
 64
        ","
INC
 ","

Arjanbhai Kalabhai Madam
        ","


Graduate
 B.A(Political) from Saurashtra University DKV College in Year 1980
","7,20,76,653 ~7 Crore+ ","Self tdAgriculture, Construction, MLA Salary, Dividend, Bank Interest","Agriculture, Rent, Bank Interest",0
AHIR(BHARVAD) JETHABHAI ,"
 72
        ","
BJP
 ","

Ghelabhai
        ","


Graduate
 B A Pass From Gujarat University Year May 2005, HSC Pass From Shrimati S J Dave Sarvajanik Highschool Shehera Year March 2002
","18,59,42,503 ~18 Crore+ ","Self tdFarming, Animal Husbandry","Farming, Animal Husbandry & Business",1
AJADIA PRAKASH NARANBHAI ,"
 28
        ","
Rashtriya Jankranti Party
 ","

Naranbhai Ajadia
        ","


Graduate Professional
 B.C.A. From L.B. Garadi B.C.A. &amp; Science College, Nyara, Saurashtra University In  Year-2015
","65,000 ~65 Thou+ ",Self tdJob,NA,0
AJAY KARABHAI ODEDARA ,"
 26
        ","
IND
 ","

Karabhai Odedara
        ","


12th Pass
 12th Gujarat 
","1,00,000 ~1 Lacs+ ",Self tdLabour,Nil,0
AJAY RAMESHBHAI KOSHTI ,"
 29
        ","
Jan Sangharsh Virat Party
 ","

Rameshbhai Koshti
        ","


8th Pass
 Appeared At. SSC. Exam Mar 2009 (Kumkum Vidyalaya)
","4,30,140 ~4 Lacs+ ",Self tdShree Ganesh Stationary Stores,NA,0
AJAYKUMAR PRAVINSINH SOLANKI ,"
 28
        ","
Garvi Gujarat Party
 ","

Pravinsinh Solanki
        ","


8th Pass
 9th Pass from Shrimati Lalitaben Kantilal Shivlal Shah HighSchool Nirmali in Year 2008
","45,15,000 ~45 Lacs+ ",Self tdAgriculture,NA,0
AJITSINH PARSOTTAMDAS THAKOR ,"
 72
        ","
AAP
 ","

Parshottambhai  Thakor
        ","


10th Pass
 10th Old From H.V Shrof Memorial Highschool, Mandavi, Tal. Dist. Vadodara. Year- 1968 March 
","3,43,08,07,125 ~343 Crore+ ","Self tdFarming, Rent, Interest",Pension And Farming,0
AJITSINH PARVATSINH CHAUHAN ,"
 64
        ","
INC
 ","

Parvatsinh Chauhan
        ","


Graduate Professional
 BA. From Nalini Art College,Vallabh Vidya nagar,sardar Patel University ,Vallabh Vidyanagar April-1985, B.ED. From M.B.Patel Koje At.Vallabh Vidyanagar Year-1987,Sardar Patel University
","1,11,58,671 ~1 Crore+ ",Self tdFarming  & Service Pension,Housewife,0
AKBAR LIYAKAT SHAHFAKIR ,"
 50
        ","
IND
 ","

Liyakat Shah Fakir
        ","


Illiterate
 Illiterate 
","1,15,000 ~1 Lacs+ ",Self tdBusiness,House Wife,0
AKBARI DIVYESHBHAI RANCHHODBHAI ,"
 44
        ","
BJP
 ","

Ranchhodbhai Akbari 
        ","


12th Pass
 SY. B.Com 1998 V.M. Mehta Mun. Arts and Commerce College Bhavnagar
","2,98,46,873 ~2 Crore+ ",Self tdBrasparts/Business,Factory,0
AKRAM VAHIDULLA ANSARI ,"
 58
        ","
IND
 ","

Waheedullah 
        ","


Literate
 2nd Pass From Nagar Pramathmik Shikshan Samiti, Mithikhadi, Limbayat, Surat. Year 1972
","1,41,51,000 ~1 Crore+ ",Self tdBusiness ,Housewife,12
AKSHAYKUMAR ISHVARBHAI PATEL ,"
 53
        ","
BJP
 ","

Ishwarbhai Shantilal Patel
        ","


12th Pass
 B.Sc. From Agriculture University Navsari. Year-1989
","3,46,61,172 ~3 Crore+ ",Self tdFarming,Housewife,0
ALIMAHAMAD HANIFBHAI HALARI ,"
 45
        ","
IND
 ","

Hanifbhai Halari
        ","


8th Pass
 9th pass from Shri Seth M M Highschool mahuva
","44,81,800 ~44 Lacs+ ",Self tdBusiness,Not Applicable,0
ALIMAMAD ISHAK PALANI ,"
 41
        ","
IND
 ","

Ishak Amadbhai Palani 
        ","


5th Pass
 5th Pass from Shri Pawar House taluka School 1994
","1,08,500 ~1 Lacs+ ",Self tdLabour,Nil,0
ALKESHBHAI BALDEVBHAI PARMAR ,"
 53
        ","
IND
 ","

Baldevbhai Mohanlal Parmar
        ","


10th Pass
 10th Pass From Shet.M.B. Madhymik School, Pethapur. Tal. Dist. Gandhinagar. Year-1985
","2,29,033 ~2 Lacs+ ",Self tdSocial Worker,NA,0
ALKESHBHAI FULSINGBHAI KATARA ,"
 32
        ","
Bhartiya Tribal Party
 ","

Fulsing Bhai Katara
        ","


Graduate Professional
 B.A. in 2014 Sardar Patel University Vallabh College, LLB From Sardar Patel University Vallabh College Year 2020
","15,71,426 ~15 Lacs+ ",Self tdFarming and Petrolpump, House wife,0
ALOK ,"
 36
        ","
IND
 ","

Hiralal Ramadhar
        ","


Graduate
 B.Com from MMH College, Gaziabad Uttarpradesh in Year 2009
","10,94,31,696 ~10 Crore+ ",Self tdPayment & Rent,Payment,0
ALPABALA DILIPKUMAR SABVA ,"
 42
        ","
IND
 ","

Dilip  Kumar Sabva 
        ","


Post Graduate
 M.Ed. From Barkatullah Vishwavidyalaya Bhopal, Year-2008 &amp; M.Com. From Saurashtra University Rajkot Year -2002 
","41,52,619 ~41 Lacs+ ","Self tdTuition, Job",Agriculture,0
ALPESH KATHIRIYA ,"
 29
        ","
AAP
 ","

Ghanshyam Bhai Kathiriya
        ","


Graduate
 B.Com from  KP Commerce College in 2013
","11,14,216 ~11 Lacs+ ",Self tdAdvocacy,NA,13
ALPESH KHODAJI THAKOR ,"
 47
        ","
BJP
 ","

Khodaji Thakor
        ","


12th Pass
 First Year B.A From Gujarat University Ahmedabad Year 1994
","3,00,79,485 ~3 Crore+ ",Self tdFarming & Trading,Trading,6
ALPESHKUMAR CHANDULAL TRAMBADIYA ,"
 43
        ","
IND
 ","

Chandulal Dayabhai Trambadiya
        ","


Graduate Professional
 Bachelor Of Physical Education From Sant Gardebaba University College, Year-2006 &amp; BRS From Saurashtra University Rajkot - 2005 BRS College Shardadham
","14,43,196 ~14 Lacs+ ",Self tdTyre Retrading And Labor Work,NA,0
ALPESHKUMAR CHHOTUBHAI PATEL ,"
 45
        ","
Bahujan Republican Socialist Party
 ","

Patel Chotubhai Babarbhai
        ","


10th Pass
 Diploma in Journalism Sri Vileparle Kerwani Mandal,  Harkishan Mehta Foundation Institute and SSC Pass Municipal High School Navsari In 1994
","25,000 ~25 Thou+ ",Self tdSocial Worker,NA,0
ALPESHKUMAR JAYANTIBHAI MAKWANA (APPU) ,"
 27
        ","
BSP
 ","

Jayantibhai Makwana
        ","


12th Pass
 12th Pass from North Gujarat Secondary Higher Secondary Examination Board, Gandhinagar In 2022
","15,562 ~15 Thou+ ",Self tdNA,NA,0
ALPESHKUMAR NARESHBHAI PATEL ,"
 35
        ","
AAP
 ","

Nareshbhai Chimanlal Patel
        ","


Post Graduate
 M.Tech From Singhania University , Rajasthan In Year 2009-10
","54,81,647 ~54 Lacs+ ",Self tdAgriculture & Business,Teacher ,1
ALPESHKUMAR V. VADOLIYA ,"
 37
        ","
Right to Recall Party
 ","

Vallabhbhai Vadoliya
        ","


Graduate
 T.Y. Bsc Chemistry From H&amp;H B Kotak Science College- Rajkot Year March 2006
","34,200 ~34 Thou+ ",Self tdNo,NA,0
ALTAFKHAN JABBARKHAN PATHAN ,"
 46
        ","
SP
 ","

Jabbarkhan Pathan
        ","


5th Pass
 5th Pass Rakhiyal Urdu School, Ahmedabad, Year-1986
","7,50,860 ~7 Lacs+ ",Self tdSocial Worker,House Wife,8
AMARDAS DESANI ,"
 56
        ","
IND
 ","

Bhimdas Desai
        ","


Post Graduate
 Master of Arts from Saurashtra University Rajkot In  2014
","57,77,081 ~57 Lacs+ ",Self tdSocial Worker And Educational Work,N.A.,1
AMARKUMAR SURESHBHAI LAVNE ,"
 35
        ","
Sarvodaya Bharat Party
 ","

Sureshbhai Lavne
        ","


12th Pass
 F.Y. B.Com Fail From Navyug Commerce College Surat Year-2006, Hardware Networking from ICA Baroda in 2013, COPA Pass from ITI-Majura Gate in 2012
","39,70,406 ~39 Lacs+ ",Self tdGraphic Design & Printing Work ,Namkin,0
AMARSINH ANADAJI THAKOR ,"
 53
        ","
AAP
 ","

Anadaji Thakor
        ","


10th Pass
 11 Th Pass From Sarvodaya High School, Bechraji Dist. Mahsana, Year-1987
","2,56,90,544 ~2 Crore+ ",Self tdAgriculture Income & Business  income & Property  Dealer,Agriculture & Dairy Income ,0
AMARSINH RAMSINH ZALA ,"
 50
        ","
IND
 ","

Ramsinh Zala
        ","


Graduate Professional
 BA, LLB
","93,51,000 ~93 Lacs+ ",Self tdAvocate Agriculture ,Animal  Husbandry ,2
AMBA PARAVANT PATEL ,"
 62
        ","
AAP
 ","

Paravant Patel
        ","


8th Pass
 8th Pass Sarvajanik High School In Year 1997
","16,26,500 ~16 Lacs+ ",Self tdFarming Work,House Wife ,0
AMBALAL MANJIBHAI VAVECHA ,"
 63
        ","
IND
 ","

Manjibhai Vavecha
        ","


12th Pass
 12th Pass from Sardar Vallabh bhai patel high school Jamjodhpur in 1979
","55,150 ~55 Thou+ ",Self tdFarming,House wife ,0
AMBALIYA RANJITBHAI KEHUBHAI ,"
 39
        ","
IND
 ","

Kheubhai Ambalia
        ","


12th Pass
 12th Pass from Shree MBM Hiigh School, in Year 2002
","56,41,000 ~56 Lacs+ ",Self tdFish Business & Agriculture,NA,0
AMBARISHKUMAR JIVABHAI DER ,"
 44
        ","
INC
 ","

Jivabhai Punjabhi Der
        ","


Graduate
 B.A. (English ) From V.D. Kankia College Arts, Savarkundla, D.P. Ed From Dr.Subhash Vyayamshala, (Dr. Subhash Academy) Junagadh
","11,16,75,653 ~11 Crore+ ",Self tdAlfa Eenterprises and Proprietor Devraj Machine Service Pvt. Ltd. Director,House Wife,1
AMBECHADA HAMIRBHAI KARASANBHAI ,"
 57
        ","
BSP
 ","

Karshanbhai Hamrabhai
        ","


10th Pass
 10th Pass From Vinoba Vidhya Mandir Simar, Year-1982
","12,59,000 ~12 Lacs+ ",Self tdFarming & Pvt. Labour,House Wife,0
AMI RAVAT ,"
 51
        ","
INC
 ","

Desai Madhusudan
        ","


Graduate Professional
 P.G.H.R.D in 2001, ME Civil in 1996-97, BE Civil in 1991-92 From The M.S University of Baroda
","6,23,10,000 ~6 Crore+ ","Self tdNarendra Ravat And Associates, Vadodara","Partharyan Consultancy Services, Vadodara",0
AMIRAJ ,"
 37
        ","
IND
 ","

Prakashbhai Patel
        ","


12th Pass
 12th Pass From Gujarat Secondary Higher Secondary Education Board, Gandhinagar, Year-2002
","36,000 ~36 Thou+ ",Self tdFitness Expert & Consulting,NA,1
AMIRAMBHAI SHANKARLAL ASHAL ,"
 45
        ","
IND
 ","

Shankarlal Ashal
        ","


10th Pass
 SSC From Shivshakti North Buniyadi Vidyalay Vav Banaskantha GSEB Board Gandhinagar Year 1998
","1,60,43,220 ~1 Crore+ ",Self tdFarming,Farming,0
AMISH NARAYANBHAI CHUNAWALA ,"
 46
        ","
IND
 ","

Narayanbhai Rasiklal Chunawala
        ","


Graduate
 Post Graduation Diploma in Journalism from Veer Narmad South Gujarat University in 2005
","84,35,000 ~84 Lacs+ ",Self tdBusiness,Business,0
AMIT CHAVDA ,"
 46
        ","
INC
 ","

Ajitbhai
        ","


Others
 Diploma In Chemical Engineering From Technical Examination Board, Gujrat State,Gandhinagar-Year April 1995
","2,42,23,978 ~2 Crore+ ","Self tdFarming, Payment-Allowance",Payment-Allowance,0
AMIT SHAH ,"
 63
        ","
BJP
 ","

Popatlal shah
        ","


Graduate Professional
 LLB in 1981 from LA Shah College Gujarat University
","3,15,21,981 ~3 Crore+ ","Self tdRetired Bank Manager, Social worker","Retired Operator, Light Khatu Ahmadabad Metropolitan Municipality and Housewife",1
AMIT THAKER ,"
 51
        ","
BJP
 ","

Dhirajlal Thaker
        ","


Post Graduate
 LLM From Sardar Patel University. Year-2020 Sept.
","19,04,67,908 ~19 Crore+ ","Self td1)Legal Adviser,2) Vardhaman Charitable Trust (Lokmanya Collage) Managing Trustee, 3) Director of Vedant Infosis Pvt. Ltd, Vedant Techno Plus Pvt. Ltd, The Ot Electric Vehicle Pvt. Ltd, IBITO, P.Met Techno Plus Pvt. Ltd, P Met High Tech Pvt. Ltd  , 4) Ved","1) Vardhaman Charitable Trust (Lokmanya Collage) Managing Trustee, 2) Director of Vedant Infosis Pvt. Ltd, Vedant Techno Plus Pvt. Ltd, The Ot Electric Vehicle Pvt. Ltd, IBITO, P.Met Techno Plus Pvt. Ltd, P Met High Tech Pvt. Ltd, Global System Prvt. Ltd ",1
AMITKUMAR BIKARAM SINGH ,"
 38
        ","
BSP
 ","

Bikaram Singh
        ","


10th Pass
 10th Pass From Dharamdev High School, Sher Gopalganj, Bihar, Year-2002
","20,82,162 ~20 Lacs+ ","Self tdGrocery Shop, LIC Agent",NA,0
AMITKUMAR PUSHKARRAY PATEL(NETAJI) ,"
 38
        ","
Rashtrawadi Janlok Dal
 ","

Pushkarray
        ","


Post Graduate
 M.Sc &amp; B.Sc. From H.N.G.U. Patan &amp; LLB From Madhav Unviersity, Rajasthan
","36,23,000 ~36 Lacs+ ",Self tdAgriculture,Salaary ,0
AMJADHUSSAIN SHAIKH ,"
 45
        ","
IND
 ","

Alihussain Abdulrahim Shaikh
        ","


Post Graduate
 LLM From Gujarat University, Year-2008 &amp; LLB From Gujarat University, Year-2006
","4,40,595 ~4 Lacs+ ",Self tdFees & Interest,NA,0
AMRISHBHAI HEMENDRABHAI PATEL(THAMNA) ,"
 60
        ","
AAP
 ","

Hemendrabhai Patel
        ","


10th Pass
 10th Amar Joyti Vidyalaya,Naranpura-Ahmadabad Year-June 1983
","57,99,000 ~57 Lacs+ ","Self tdFarming, Travel Commission",Housewife & Kitchen,1
AMRUTBHAI PURSHOTTAMBHAI PATEL ,"
 66
        ","
IND
 ","

Purshottambhai Mohanbhai Patel 
        ","


Graduate
 T.Y.B.A Passed From Gujarat Univesity. Year-1977 April
","53,85,320 ~53 Lacs+ ",Self tdFarming,Nil,0
AMRUTIYA KANTILAL SHIVLAL ,"
 60
        ","
BJP
 ","

Shivlalbhai
        ","


12th Pass
 F.Y.B.A From Dr. Babasaheb Ambedkar University  
","9,23,58,032 ~9 Crore+ ","Self tdBusiness, Agriculture ",Business ,0
AMRUTJI MOTIJI THAKOR ,"
 50
        ","
INC
 ","

Thakor Motiji 
        ","


12th Pass
 12th Pass From Gujarat Higher Secondary Education Board , Gandhi nagar In march 1992
","3,85,30,623 ~3 Crore+ ",Self tdAgriculture,Tailor ,0
AMUL BHATT ,"
 63
        ","
BJP
 ","

Balvantrai Bhatt
        ","


Post Graduate
 M.SC (Chemistry) From Gujarat University Year-1981-82 
","6,91,07,735 ~6 Crore+ ",Self tdBusiness & Other Income ,Rent & Other Income,0
ANAND KRASHNAKANT BUCH ,"
 40
        ","
IND
 ","

Krashnakant Buch
        ","


8th Pass
 10th Fail from High School Porbandar 1997
","20,000 ~20 Thou+ ",Self tdJob,NA,1
ANAND P RATHOD ,"
 41
        ","
IND
 ","

Pachanbhai Jehabhai Rathod
        ","


Graduate
 B.A. From Saurashtra University, Rajkot, Year-2014
","8,04,000 ~8 Lacs+ ",Self tdPvt. Job,Ashaworker,0
ANANDBHAI MOHANBHAI CHAUDHARI ,"
 51
        ","
INC
 ","

Mohanbhai Chaudhari
        ","


Others
 Diploma In Mechanic Engineer From S &amp; S Gandhi Engineering College, Surat
","61,16,335 ~61 Lacs+ ",Self tdFarming Income/ Salary Income,Salary Income,0
ANANTKUMAR HASMUKHBHAI PATEL ,"
 46
        ","
INC
 ","

Hasmukhbhai Ratanjibhai Patel
        ","


Post Graduate
 M.A. from Veer Narmad South Gujarat University, Surat in 2000 to 2001
","1,98,21,514 ~1 Crore+ ",Self tdAgriculture,House Wife,5
ANIKET GIRISHBHAI THAKER ,"
 51
        ","
BJP
 ","

Girishbhai Thaker
        ","


Graduate
 B.Com from North Gujarat University Patan Year 1991
","49,01,972 ~49 Lacs+ ",Self tdBusiness/ Service Center,Private Job,0
ANILBHAI LALLUBHAI PARMAR ,"
 46
        ","
BSP
 ","

Lallubhai Dayabhai Parmar
        ","


12th Pass
 12th Pass From Vidyut Boad Vidyalaya,Dhuvaran Year-1994
","15,56,000 ~15 Lacs+ ",Self tdPrinting ,Housewife,0
ANILBHAI SOMABHAI GARASIYA ,"
 41
        ","
AAP
 ","

Somabhai Garasiya
        ","


Post Graduate
 M.A. From Sardar Patel University, Vallabh Vidhyanagar, Year-2013 &amp; B.Ed. From Kadi Sarva University, Gandhinagar, Year-2009
","51,32,917 ~51 Lacs+ ",Self tdPvt. Job,Primary Teacher Salary,0
ANILBHAI SUMANBHAI CHAUDHARI ,"
 62
        ","
INC
 ","

Chaudhary Sumanbhai  Devajibhai
        ","


Graduate
 B.Com from Gujarat University Surat
","82,86,886 ~82 Lacs+ ",Self tdPensioner,Pensioner,0
ANIRUDDHA BHAILAL DAVE ,"
 54
        ","
BJP
 ","

Bhailal Dave
        ","


Post Graduate
 MPA From KSKV Kachchh University Year April 2011, LLB From Gujarat University Year October 1995, TYBA From Gujarat University Year April 1993
","9,06,96,946 ~9 Crore+ ","Self tdConsultancy Fee, House Property Income, Bank Interesr, Share Stock Profit","House Property Income, Bank Interest, Share Stock Profit",0
ANISH AHMAD MORISWALA ,"
 40
        ","
Log Party
 ","

Gulam Hussain Morsivala
        ","


8th Pass
 9th Pass From Anglo Urdu Highschool Sodagarvad Surat Year 1998
","1,48,600 ~1 Lacs+ ",Self tdBroker,NA,0
ANISHABEN KURESHI ,"
 43
        ","
IND
 ","

Shakilbhai Kureshi
        ","


Literate
 4th Pass
","1,99,500 ~1 Lacs+ ",Self tdHouse Wife,144000,0
ANISHBHAI GORDHANBHAI BARIA ,"
 38
        ","
INC
 ","

Gordhanbhai Baria
        ","


Graduate
 BA, CPF
","82,50,000 ~82 Lacs+ ",Self tdConstruction,NA,0
ANKURKUMAR LAXMANBHAI PATEL ,"
 32
        ","
AAP
 ","

Laxmanbhai Patel
        ","


Others
 Diploma In Mechanical Engineering Passed In The Year Of 2010 From Technical Education Board Gandhinagar
","1,74,14,200 ~1 Crore+ ",Self tdBisiness,NA,0
ANOPSINH GOHIL ,"
 40
        ","
IND
 ","

Gulabsingh Gohil
        ","


Literate
 3rd Shri Neshia Primary School Neshia Talaja Bhavnagar Year 1990
","9,40,000 ~9 Lacs+ ",Self tdAgriculture Income ,House Wife ,0
ANSARI ALMASJAHA NISHARAHMED ,"
 55
        ","
IND
 ","

Nisharahmed
        ","


Literate
 3rd Pass From Jyoti High School, Amraiwadi, Ahmedabad
","85,000 ~85 Thou+ ",Self tdHouse Wife,NA,0
ANSOYABEN PATEL ,"
 50
        ","
Aadi Bharat Party
 ","

Hitendrabhai
        ","


8th Pass
 8th Pass Chabhiben Mahadevbhai Jakasalya High School Jetpar Morbi Year 1983
","13,80,000 ~13 Lacs+ ",Self tdHouse Wife,Neelam Enterprises Engineering Work,0
ANTROLIYA DHANABHAI MUNABHAI ,"
 53
        ","
Vyavastha Parivartan Party
 ","

Munabhai Ukabhai Antroliya
        ","


8th Pass
 9th pass
","30,000 ~30 Thou+ ",Self tdDaily Wages,Nil,0
ANVAR DAUD KAKAL ,"
 53
        ","
IND
 ","

Daud Kakal
        ","


Literate
 4th Pass From Government School No. 55, Ghararnagar, Jamnagar,:Year 1982
","5,00,000 ~5 Lacs+ ",Self tdBusiness ,Housewife,0
ANVARBHAI GULAMRASUL KASAI ,"
 61
        ","
IND
 ","

Gulamrasul Kasai
        ","


Literate
 3rd Pass from Nadiad In Year 1969
","65,000 ~65 Thou+ ",Self tdRetired,No,0
ANWAR HAMID SHAIKH ,"
 57
        ","
IND
 ","

Hamid Shaikh
        ","


5th Pass
 6th Pass From Education Department, Dist. P.Thane, Year-1978
","52,000 ~52 Thou+ ",Self tdVehicle Sale & Purchase,NA,0
ARIFBHAI GULAMNABI VAHORA ,"
 50
        ","
IND
 ","

Gulamnabi Vahora
        ","


12th Pass
 12th Pass in Year 1993 From Alindra
","7,20,000 ~7 Lacs+ ",Self tdBusiness,NA,0
ARIFKHAN MAHMADHUSEN KHORAM ,"
 41
        ","
IND
 ","

Khoram Mohammad Hussain
        ","


8th Pass
 9th PAss Fro Shree D V C Technical High School, Morbi in year 1999
","5,41,100 ~5 Lacs+ ",Self tdAgriculture,Housewife,0
ARJAN BHUDIYA ,"
 60
        ","
INC
 ","

Devjibhai Bhudiya
        ","


8th Pass
 9th pass from MSV Highschool, madhapur in 1979
","2,42,60,519 ~2 Crore+ ","Self tdGreenwood industries, patel jewellers",Evergreen trade,1
ARJANBHAI CHANABHAI RABARI ,"
 37
        ","
AAP
 ","

Chanabhai Rabari
        ","


Literate
 4th Pass, Chhotapar Primary School, Rapar in Year 1995
","36,96,500 ~36 Lacs+ ",Self tdReal Estate Broker,Spouse ,0
ARJUNBHAI DEVABHAI MODHWADIA ,"
 66
        ","
INC
 ","

Modhwadia Devabhai
        ","


Graduate Professional
 LLB From Gujarat University Ahmedabad in Year 2015
","3,96,91,720 ~3 Crore+ ",Self tdAgriculture,Agriculture,1
ARJUNBHAI SIDHABHAI BHARWAD ,"
 35
        ","
AAP
 ","

Sidhabhai Bharwad
        ","


5th Pass
 7th Pass From Primary Kumar School,Changa 
","41,31,471 ~41 Lacs+ ",Self tdBusiness,No,0
ARJUNSINH UDESINH CHAUHAN ,"
 46
        ","
BJP
 ","

Udesingh Chauhan
        ","


Graduate
 B.Com From Gujarat University In 1998
","84,58,062 ~84 Lacs+ ","Self td1. Sanchalay Deendayal Grahak Bhandar, Vathwadi Taluka, Mehmdabad Kheda, 2.  MLA Salary. 3. Bank Interest",Dairy Income,0
ARUN MEHTA ,"
 65
        ","
CPI(M)
 ","

Subhodhbhai Mehata
        ","


Graduate
 B.Com Year-1977, LLB- Year 1900 From Bhavnagar University
","43,10,000 ~43 Lacs+ ",Self tdSalary,Pension,0
ARUN PATHAK (GABBAR) ,"
 39
        ","
IND
 ","

Sheshram Pathak
        ","


Others
 12th failed from Gujarat Higher secondary board, Diploma in Journalism Harkishan Mehta Journalism and Institute of mass communication institute , Mithibai college Vileparle Mumbai
","19,17,542 ~19 Lacs+ ",Self tdBusiness,Housewife,4
