Candidate Name,Constituency,Party,Criminal_case,Education,Total_assets,Liabilities
['Poonam Rani'],['222-RAM NAGAR EAST'],['BSP'],['0'],['Graduate'],"['Rs\xa065,450~ 65\xa0Thou+']",['Rs\xa00~']
['Poonam Rani'],['136-MADHU VIHAR'],['IND'],['0'],['Doctorate'],"['Rs\xa01,98,75,042~ 1\xa0Crore+']",['Rs\xa00~']
['Poonam Rohilla'],['54-ROHINI-D'],['INC'],['0'],['12th Pass'],"['Rs\xa041,24,849~ 41\xa0Lacs+']","['Rs\xa05,05,261~ 5\xa0Lacs+']"
['Poonam Saini'],['46- NANGLOI JAT'],['BJP'],['0'],['12th Pass'],"['Rs\xa04,58,99,703~ 4\xa0Crore+']","['Rs\xa01,88,232~ 1\xa0Lacs+']"
['Poonam Sharma'],['65-ASHOK VIHAR'],['BJP'],['0'],['12th Pass'],"['Rs\xa01,86,79,993~ 1\xa0Crore+']","['Rs\xa04,14,87,547~ 4\xa0Crore+']"
['Poornima'],['11-TIMARPUR'],['NCP'],['0'],['Literate'],"['Rs\xa01,74,000~ 1\xa0Lacs+']",['Rs\xa00~']
['Pradeep Kumar'],['211-KRISHNA NAGAR'],['INC'],['0'],['10th Pass'],"['Rs\xa01,56,14,000~ 1\xa0Crore+']",['Rs\xa00~']
['Pradeep Kumar'],['95-VISHNU GARDEN'],['IND'],['0'],['12th Pass'],"['Rs\xa01,08,00,000~ 1\xa0Crore+']",['Rs\xa00~']
['Pradeep Kumar'],['119-MANGLAPURI'],['BSP'],['0'],['10th Pass'],"['Rs\xa057,57,253~ 57\xa0Lacs+']","['Rs\xa03,85,460~ 3\xa0Lacs+']"
['Pradeep Kumar Karhana'],['113-MOHAN GARDEN'],['INC'],['0'],['Graduate Professional'],"['Rs\xa037,24,981~ 37\xa0Lacs+']","['Rs\xa09,35,278~ 9\xa0Lacs+']"
['Pradeep Kumar Lohia'],['95-VISHNU GARDEN'],['INC'],['0'],['Post Graduate'],"['Rs\xa01,74,51,879~ 1\xa0Crore+']","['Rs\xa02,06,31,033~ 2\xa0Crore+']"
['Pradeep Kumar Tiwari'],['91-RAMESH NAGAR'],['BJP'],['1'],['12th Pass'],"['Rs\xa010,35,894~ 10\xa0Lacs+']","['Rs\xa09,27,097~ 9\xa0Lacs+']"
['Pradeep Mittal'],['21-ROHINI-A'],['AAP'],['1'],['12th Pass'],"['Rs\xa037,50,413~ 37\xa0Lacs+']",['Rs\xa00~']
['Pradeep Singh'],['93-MADIPUR'],['IND'],['0'],['Post Graduate'],"['Rs\xa056,66,444~ 56\xa0Lacs+']","['Rs\xa030,00,000~ 30\xa0Lacs+']"
['Pradip Kumar'],['111-BAPROLA'],['IND'],['0'],['Literate'],"['Rs\xa01,11,65,444~ 1\xa0Crore+']","['Rs\xa03,56,720~ 3\xa0Lacs+']"
['Prahlad Maurya'],['41-AMAN VIHAR'],['IND'],['0'],['Graduate'],"['Rs\xa03,70,772~ 3\xa0Lacs+']",['Rs\xa00~']
['Pramod Gupta'],['232-YAMUNA VIHAR'],['BJP'],['0'],['10th Pass'],"['Rs\xa013,41,10,397~ 13\xa0Crore+']","['Rs\xa03,37,11,274~ 3\xa0Crore+']"
['Pratap Singh'],['2-BANKNER'],['IND'],['0'],['12th Pass'],"['Rs\xa057,31,590~ 57\xa0Lacs+']",['Rs\xa00~']
['Pratibha'],['83-KAROI BAGH'],['IND'],['0'],['Graduate'],"['Rs\xa026,62,892~ 26\xa0Lacs+']","['Rs\xa02,49,000~ 2\xa0Lacs+']"
['Pratibha Jha'],['9-SANT NAGAR'],['BSP'],['0'],['Graduate'],"['Rs\xa04,03,022~ 4\xa0Lacs+']",['Rs\xa00~']
['Pratima Anand'],['94-RAGHUBIR NAGAR'],['AAP'],['0'],['Post Graduate'],"['Rs\xa014,06,565~ 14\xa0Lacs+']","['Rs\xa04,71,050~ 4\xa0Lacs+']"
['Praveen'],['243-MUSTAFABAD'],['IND'],['0'],['Literate'],"['Rs\xa01,08,98,423~ 1\xa0Crore+']",['Rs\xa00~']
['Praveen Behal'],['74-CHANDNI CHOWK'],['IND'],['0'],['Graduate'],"['Rs\xa04,22,35,724~ 4\xa0Crore+']",['Rs\xa00~']
['Praveen Dogra'],['138-SADH NAGAR'],['INC'],['0'],['Graduate'],"['Rs\xa01,77,21,127~ 1\xa0Crore+']","['Rs\xa024,76,300~ 24\xa0Lacs+']"
['Praveen Kasana'],['219-DILSHAD GARDEN'],['AAP'],['0'],['12th Pass'],"['Rs\xa02,01,97,459~ 2\xa0Crore+']",['Rs\xa00~']
['Praveen Kumar'],['250-SABAPUR'],['INC'],['0'],['Post Graduate'],"['Rs\xa024,01,000~ 24\xa0Lacs+']","['Rs\xa033,75,000~ 33\xa0Lacs+']"
['Praveen Kumar'],['185-MADANPUR KHADAR EAST'],['AAP'],['1'],['Graduate'],"['Rs\xa010,57,636~ 10\xa0Lacs+']",['Rs\xa00~']
['Praveen Kumar'],['166-PUSHP VIHAR'],['BSP'],['0'],['12th Pass'],"['Rs\xa07,40,195~ 7\xa0Lacs+']","['Rs\xa09,43,870~ 9\xa0Lacs+']"
['Praveen Rao'],['156-VASANT KUNJ'],['IND'],['0'],['Post Graduate'],"['Rs\xa07,48,47,230~ 7\xa0Crore+']","['Rs\xa090,00,000~ 90\xa0Lacs+']"
['Praveen Sharma'],['200-PANDAV NAGAR'],['INC'],['0'],['12th Pass'],"['Rs\xa061,60,685~ 61\xa0Lacs+']",['Rs\xa00~']
['Praveena'],['181-MOLARBAND'],['RLD'],['0'],['8th Pass'],"['Rs\xa095,64,229~ 95\xa0Lacs+']","['Rs\xa08,86,775~ 8\xa0Lacs+']"
['Pravesh'],['31-NANGAI THAKRAN'],['IND'],['0'],['Graduate'],"['Rs\xa045,71,982~ 45\xa0Lacs+']",['Rs\xa00~']
['Pravesh Chaudhary'],['244-NEHRU VIHAR'],['AAP'],['2'],['Graduate Professional'],"['Rs\xa020,77,88,794~ 20\xa0Crore+']","['Rs\xa01,25,78,129~ 1\xa0Crore+']"
['Pravesh Sejwal'],['154-LADO SARAI'],['BJP'],['0'],['Graduate'],"['Rs\xa064,98,643~ 64\xa0Lacs+']",['Rs\xa00~']
['Pravesh Wahi'],['53-ROHINI-E'],['BJP'],['0'],['Graduate'],"['Rs\xa03,39,01,995~ 3\xa0Crore+']","['Rs\xa014,15,000~ 14\xa0Lacs+']"
['Preeti'],['249-SONIA VIHAR'],['INC'],['0'],['8th Pass'],"['Rs\xa01,69,000~ 1\xa0Lacs+']",['Rs\xa00~']
['Preeti'],['217-DILSHAD COLONY'],['AAP'],['3'],['Illiterate'],"['Rs\xa07,28,02,785~ 7\xa0Crore+']","['Rs\xa01,20,000~ 1\xa0Lacs+']"
['Preeti Bidhuri'],['145-ANDREWS GANJ'],['BJP'],['0'],['8th Pass'],"['Rs\xa04,89,10,000~ 4\xa0Crore+']","['Rs\xa015,00,000~ 15\xa0Lacs+']"
['Preeti Gupta'],['231-GHONDA'],['BJP'],['0'],['Post Graduate'],"['Rs\xa017,50,57,950~ 17\xa0Crore+']",['Rs\xa00~']
['Preeti Kumari'],['116-BINDA PUR'],['INC'],['0'],['12th Pass'],"['Rs\xa07,49,624~ 7\xa0Lacs+']",['Rs\xa00~']
['Prem Chand Choudhary'],['80-RAM NAGAR'],['IND'],['0'],['Post Graduate'],"['Rs\xa010,93,122~ 10\xa0Lacs+']",['Rs\xa00~']
['Prem Chauhan'],['164-DAKSHIN PURI'],['AAP'],['1'],['12th Pass'],"['Rs\xa015,22,799~ 15\xa0Lacs+']","['Rs\xa05,42,556~ 5\xa0Lacs+']"
['Prem Lata'],['169-SANGAM VIHAR-B'],['BSP'],['0'],['Illiterate'],"['Rs\xa06,61,000~ 6\xa0Lacs+']","['Rs\xa02,50,000~ 2\xa0Lacs+']"
['Prem Lata'],['159-CHHATARPUR'],['BSP'],['0'],['Illiterate'],"['Rs\xa03,90,000~ 3\xa0Lacs+']",['Rs\xa00~']
['Prema Devi'],['191-MAYUR VIHAR PHASE-I'],['BJP'],['0'],['5th Pass'],"['Rs\xa09,42,021~ 9\xa0Lacs+']","['Rs\xa09,300~ 9\xa0Thou+']"
['Premchand'],['200-PANDAV NAGAR'],['IND'],['0'],['5th Pass'],"['Rs\xa06,58,500~ 6\xa0Lacs+']","['Rs\xa07,200~ 7\xa0Thou+']"
['Prempal Arya'],['17-BHALSWA'],['IND'],['0'],['10th Pass'],"['Rs\xa01,50,809~ 1\xa0Lacs+']","['Rs\xa015,000~ 15\xa0Thou+']"
['Prerna Singh'],['71-KISHAN GANJ'],['INC'],['1'],['Post Graduate'],"['Rs\xa057,45,699~ 57\xa0Lacs+']","['Rs\xa036,99,958~ 36\xa0Lacs+']"
['Priya Brij Jayant'],['11-TIMARPUR'],['INC'],['0'],['10th Pass'],"['Rs\xa088,16,000~ 88\xa0Lacs+']","['Rs\xa022,36,000~ 22\xa0Lacs+']"
['Priya Kamboj'],['212-GANDHI NAGAR'],['BJP'],['0'],['Graduate'],"['Rs\xa01,38,43,108~ 1\xa0Crore+']",['Rs\xa00~']
['Priyanka'],['239-GOKAI PURI'],['IND'],['0'],['Graduate'],"['Rs\xa01,08,000~ 1\xa0Lacs+']",['Rs\xa00~']
['Priyanka Chaudhary'],['194-GHAROLI'],['CPI(ML)(L)'],['0'],['12th Pass'],"['Rs\xa025,000~ 25\xa0Thou+']",['Rs\xa00~']
['Priyanka Gautam'],['194-GHAROLI'],['AAP'],['0'],['Graduate Professional'],"['Rs\xa047,86,224~ 47\xa0Lacs+']",['Rs\xa00~']
['Priyanka Kumari'],['161-DEOLI'],['BSP'],['0'],['Post Graduate'],"['Rs\xa01,65,90,977~ 1\xa0Crore+']","['Rs\xa09,42,258~ 9\xa0Lacs+']"
['Priyanka Rawat'],['229-BRAHAM PURI'],['INC'],['0'],['Post Graduate'],"['Rs\xa01,09,73,000~ 1\xa0Crore+']",['Rs\xa00~']
['Priyanka Saxena'],['235-GORAKH PARK'],['AAP'],['0'],['Graduate'],"['Rs\xa047,44,467~ 47\xa0Lacs+']","['Rs\xa017,40,000~ 17\xa0Lacs+']"
['Promila Gupta'],['11-TIMARPUR'],['AAP'],['1'],['Graduate'],"['Rs\xa01,21,78,988~ 1\xa0Crore+']","['Rs\xa01,50,000~ 1\xa0Lacs+']"
['Promila Singh'],['217-DILSHAD COLONY'],['BSP'],['0'],['Graduate'],"['Rs\xa01,44,47,984~ 1\xa0Crore+']","['Rs\xa062,50,000~ 62\xa0Lacs+']"
['Promod Jha'],['246- SRI RAM COLONY'],['BJP'],['0'],['12th Pass'],"['Rs\xa035,28,929~ 35\xa0Lacs+']",['Rs\xa00~']
['Punam Sharma'],['36-NIIOTHI'],['INC'],['0'],['Post Graduate'],"['Rs\xa01,42,79,952~ 1\xa0Crore+']","['Rs\xa016,27,400~ 16\xa0Lacs+']"
['Punam Singh'],['175-KALKAJI'],['JD(U)'],['0'],['Graduate Professional'],"['Rs\xa08,09,067~ 8\xa0Lacs+']",['Rs\xa00~']
['Punardeep Singh Sawhney'],['74-CHANDNI CHOWK'],['AAP'],['1'],['12th Pass'],"['Rs\xa013,28,97,543~ 13\xa0Crore+']","['Rs\xa059,65,411~ 59\xa0Lacs+']"
['Puneet Manchanda'],['216-JHILMIL'],['INC'],['0'],['10th Pass'],"['Rs\xa04,54,70,148~ 4\xa0Crore+']","['Rs\xa094,99,299~ 94\xa0Lacs+']"
['Puneet Rai'],['91-RAMESH NAGAR'],['AAP'],['7'],['Graduate'],"['Rs\xa09,33,27,926~ 9\xa0Crore+']","['Rs\xa08,65,99,790~ 8\xa0Crore+']"
['Puneet Sharma'],['242-DAYAIPUR'],['BJP'],['0'],['Graduate'],"['Rs\xa07,79,19,993~ 7\xa0Crore+']","['Rs\xa029,38,284~ 29\xa0Lacs+']"
['Purnima Chauhan'],['112-SAINIK ENCLAVE'],['IND'],['0'],['5th Pass'],"['Rs\xa04,71,948~ 4\xa0Lacs+']","['Rs\xa032,700~ 32\xa0Thou+']"
['Pushpa'],['24-VIJAY VIHAR'],['AAP'],['0'],['5th Pass'],"['Rs\xa01,22,82,090~ 1\xa0Crore+']",['Rs\xa00~']
['Pushpa'],['178-TUGHLAKABAD'],['BJP'],['0'],['12th Pass'],"['Rs\xa054,82,603~ 54\xa0Lacs+']","['Rs\xa018,00,000~ 18\xa0Lacs+']"
['Pushpa Singh'],['155-MEHRAULI'],['INC'],['1'],['12th Pass'],"['Rs\xa04,04,54,528~ 4\xa0Crore+']","['Rs\xa027,00,000~ 27\xa0Lacs+']"
['Rachna'],['205-I.P. EXTENSION'],['AAP'],['0'],['12th Pass'],"['Rs\xa028,41,046~ 28\xa0Lacs+']",['Rs\xa00~']
['Rachna Mishra'],['184-JAITPUR'],['BJP'],['0'],['10th Pass'],"['Rs\xa013,97,421~ 13\xa0Lacs+']","['Rs\xa05,77,514~ 5\xa0Lacs+']"
['Raesa'],['130-DWARKA-C'],['BSP'],['0'],['8th Pass'],"['Rs\xa03,34,000~ 3\xa0Lacs+']","['Rs\xa02,57,400~ 2\xa0Lacs+']"
['Rafia Mahir'],['78-BAZAR SITA RAM'],['AAP'],['0'],['Post Graduate'],"['Rs\xa064,000~ 64\xa0Thou+']",['Rs\xa00~']
['Rahisuddin'],['163-SANGAM VIHAR-A'],['INC'],['1'],['8th Pass'],"['Rs\xa055,79,000~ 55\xa0Lacs+']","['Rs\xa03,48,549~ 3\xa0Lacs+']"
['Rahul Jain'],['206-ANAND VIHAR'],['AAP'],['0'],['Graduate'],"['Rs\xa04,83,72,775~ 4\xa0Crore+']",['Rs\xa00~']
['Rahul Mathur'],['37-KIRARI'],['INC'],['0'],['Post Graduate'],"['Rs\xa095,69,750~ 95\xa0Lacs+']",['Rs\xa00~']
['Rahul Sharma'],['74-CHANDNI CHOWK'],['INC'],['0'],['Graduate'],"['Rs\xa02,85,91,628~ 2\xa0Crore+']","['Rs\xa01,28,04,576~ 1\xa0Crore+']"
['Rai Singh Mann'],['4-ALIPUR'],['INC'],['0'],['Graduate'],"['Rs\xa08,71,60,386~ 8\xa0Crore+']","['Rs\xa011,23,856~ 11\xa0Lacs+']"
['Rainoo Kumari'],['180-BADARPUR'],['INC'],['0'],['12th Pass'],"['Rs\xa028,71,000~ 28\xa0Lacs+']",['Rs\xa00~']
['Raj Bala'],['110-KUNWAR SINGH NAGAR'],['AAP'],['0'],['8th Pass'],"['Rs\xa038,28,959~ 38\xa0Lacs+']",['Rs\xa00~']
['Raj Bala Tokas'],['151-MUNIRKA'],['AAP'],['0'],['8th Pass'],"['Rs\xa07,04,06,000~ 7\xa0Crore+']","['Rs\xa099,31,040~ 99\xa0Lacs+']"
['Raj Kanwar'],['103-KESHOPUR'],['BSP'],['0'],['12th Pass'],"['Rs\xa011,84,022~ 11\xa0Lacs+']","['Rs\xa02,00,000~ 2\xa0Lacs+']"
['Raj Kumar'],['101-TILAK NAGAR'],['IND'],['0'],['12th Pass'],"['Rs\xa065,13,000~ 65\xa0Lacs+']","['Rs\xa06,00,000~ 6\xa0Lacs+']"
['Raj Kumar'],['137-MAHAVIR ENCLAVE'],['BJP'],['0'],['12th Pass'],"['Rs\xa017,39,302~ 17\xa0Lacs+']",['Rs\xa00~']
['Raj Kumar'],['240-JOHARIPUR'],['BJP'],['1'],['12th Pass'],"['Rs\xa01,41,56,016~ 1\xa0Crore+']",['Rs\xa00~']
['Raj Kumar'],['232-YAMUNA VIHAR'],['INC'],['0'],['10th Pass'],"['Rs\xa02,03,72,683~ 2\xa0Crore+']",['Rs\xa00~']
['Raj Kumar Chautala'],['164-DAKSHIN PURI'],['BJP'],['0'],['8th Pass'],"['Rs\xa097,79,116~ 97\xa0Lacs+']",['Rs\xa00~']
['Raj Kumar Dhillo'],['195-KALYANPURI'],['BJP'],['0'],['10th Pass'],"['Rs\xa034,849~ 34\xa0Thou+']",['Rs\xa00~']
['Raj Kumar Grover'],['101-TILAK NAGAR'],['BJP'],['0'],['12th Pass'],"['Rs\xa025,55,28,355~ 25\xa0Crore+']","['Rs\xa042,19,974~ 42\xa0Lacs+']"
['Raj Kumar Khurana'],['91-RAMESH NAGAR'],['IND'],['0'],['Post Graduate'],"['Rs\xa043,60,65,598~ 43\xa0Crore+']","['Rs\xa038,95,703~ 38\xa0Lacs+']"
['Raj Pal Singh'],['174-SRI NIWAS PURI'],['BJP'],['0'],['Graduate'],"['Rs\xa047,73,63,872~ 47\xa0Crore+']","['Rs\xa03,54,41,275~ 3\xa0Crore+']"
['Raj Rani'],['153-VASANT VIHAR'],['BJP'],['0'],['12th Pass'],"['Rs\xa05,48,99,217~ 5\xa0Crore+']",['Rs\xa00~']
['Raj Rani Kardam'],['194-GHAROLI'],['BSP'],['0'],['Graduate Professional'],"['Rs\xa064,27,841~ 64\xa0Lacs+']","['Rs\xa07,00,000~ 7\xa0Lacs+']"
['Raja Iqbal Singh'],['13-MUKHERJEE NAGAR'],['BJP'],['0'],['Graduate Professional'],"['Rs\xa03,13,26,415~ 3\xa0Crore+']",['Rs\xa00~']
['Rajani'],['7-KADIPUR'],['IND'],['0'],['8th Pass'],"['Rs\xa030,80,153~ 30\xa0Lacs+']",['Rs\xa00~']
['Rajbala'],['26-POOTH KALAN'],['INC'],['0'],['12th Pass'],"['Rs\xa04,58,01,911~ 4\xa0Crore+']","['Rs\xa099,90,000~ 99\xa0Lacs+']"
['Rajbir'],['10-JHARODA'],['IND'],['0'],['5th Pass'],"['Rs\xa05,400~ 5\xa0Thou+']",['Rs\xa00~']
['Rajeev'],['13-MUKHERJEE NAGAR'],['INC'],['1'],['Graduate'],"['Rs\xa055,00,000~ 55\xa0Lacs+']","['Rs\xa07,50,000~ 7\xa0Lacs+']"
['Rajeev Girotra'],['89-KARAM PURA'],['BJP'],['0'],['Graduate'],"['Rs\xa05,77,20,864~ 5\xa0Crore+']","['Rs\xa018,76,250~ 18\xa0Lacs+']"
['Rajeev Kumar'],['125-CHHAWAIA'],['IND'],['0'],['10th Pass'],"['Rs\xa038,01,67,996~ 38\xa0Crore+']",['Rs\xa00~']
['Rajeev Sansanwal'],['154-LADO SARAI'],['AAP'],['1'],['Graduate'],"['Rs\xa014,26,882~ 14\xa0Lacs+']",['Rs\xa00~']
['Rajender'],['183-HARI NAGAR EXTENSION'],['INC'],['0'],['Illiterate'],"['Rs\xa01,26,34,009~ 1\xa0Crore+']",['Rs\xa00~']
['Rajender Singh'],['8-MUKUNDPUR'],['IND'],['0'],['Graduate'],"['Rs\xa050,717~ 50\xa0Thou+']","['Rs\xa045,749~ 45\xa0Thou+']"
['Rajender Singh'],['51-ROHINI-C'],['IND'],['0'],['8th Pass'],"['Rs\xa03,55,000~ 3\xa0Lacs+']",['Rs\xa00~']
['Rajesh Aggarwal'],['115-UTTAM NAGAR'],['BJP'],['0'],['12th Pass'],"['Rs\xa06,45,77,130~ 6\xa0Crore+']","['Rs\xa080,98,215~ 80\xa0Lacs+']"
['Rajesh Gaba'],['10-JHARODA'],['IND'],['0'],['10th Pass'],"['Rs\xa01,00,000~ 1\xa0Lacs+']",['Rs\xa00~']
['Rajesh Kumar'],['42-MANGOL PURI'],['AAP'],['0'],['12th Pass'],"['Rs\xa052,77,735~ 52\xa0Lacs+']",['Rs\xa00~']
['Rajesh Kumar'],['87-RANJEET NAGAR'],['INC'],['0'],['Graduate'],"['Rs\xa025,49,350~ 25\xa0Lacs+']",['Rs\xa00~']
['Rajesh Kumar Gupta'],['39-MUBARIKPUR'],['AAP'],['0'],['Graduate'],"['Rs\xa020,61,74,348~ 20\xa0Crore+']","['Rs\xa05,60,52,934~ 5\xa0Crore+']"
['Rajesh Kumar Ladi'],['99-HARI NAGAR'],['AAP'],['0'],['Graduate'],"['Rs\xa07,01,26,777~ 7\xa0Crore+']",['Rs\xa00~']
['Rajesh Rai'],['13-MUKHERJEE NAGAR'],['BSP'],['0'],['8th Pass'],"['Rs\xa04,00,000~ 4\xa0Lacs+']",['Rs\xa00~']
['Rajesh Shokeen'],['51-ROHINI-C'],['NCP'],['0'],['Post Graduate'],"['Rs\xa020,75,844~ 20\xa0Lacs+']","['Rs\xa028,41,592~ 28\xa0Lacs+']"
['Rajeswari'],['50-MANGOLPURI-B'],['BJP'],['1'],['8th Pass'],"['Rs\xa071,00,000~ 71\xa0Lacs+']","['Rs\xa03,00,000~ 3\xa0Lacs+']"
['Rajiv Chaudhary'],['206-ANAND VIHAR'],['INC'],['0'],['Graduate Professional'],"['Rs\xa03,82,63,872~ 3\xa0Crore+']",['Rs\xa00~']
['Rajiv Kumar'],['4-ALIPUR'],['IND'],['0'],['10th Pass'],"['Rs\xa02,00,45,000~ 2\xa0Crore+']",['Rs\xa00~']
['Rajiv Kumar Sharma'],['57-PITAM PURA'],['INC'],['0'],['Graduate'],"['Rs\xa010,07,600~ 10\xa0Lacs+']",['Rs\xa00~']
['Rajmani'],['49-MANGOIPURI-A'],['BSP'],['0'],['12th Pass'],"['Rs\xa014,500~ 14\xa0Thou+']",['Rs\xa00~']
['Rajnesh'],['122-MATIAIA'],['AAP'],['0'],['Post Graduate'],"['Rs\xa05,80,05,958~ 5\xa0Crore+']",['Rs\xa00~']
['Rajni'],['162-TIGRI'],['INC'],['0'],['Graduate Professional'],"['Rs\xa02,70,000~ 2\xa0Lacs+']",['Rs\xa00~']
['Rajni Devi'],['110-KUNWAR SINGH NAGAR'],['IND'],['0'],['8th Pass'],"['Rs\xa069,62,500~ 69\xa0Lacs+']",['Rs\xa00~']
['Rajni Devi'],['241-KARAWAL NAGAR-EAST'],['BSP'],['0'],['8th Pass'],"['Rs\xa052,15,973~ 52\xa0Lacs+']","['Rs\xa04,28,620~ 4\xa0Lacs+']"
['Rajni Gautam'],['237-HARSH VIHAR'],['BSP'],['0'],['8th Pass'],"['Rs\xa01,47,21,600~ 1\xa0Crore+']","['Rs\xa03,03,000~ 3\xa0Lacs+']"
['Rajnish'],['240-JOHARIPUR'],['IND'],['0'],['Graduate Professional'],"['Rs\xa076,94,690~ 76\xa0Lacs+']",['Rs\xa00~']
['Rajpal Garg'],['25-BUDH VIHAR'],['BJP'],['0'],['10th Pass'],"['Rs\xa046,53,715~ 46\xa0Lacs+']",['Rs\xa00~']
['Raju Richariya'],['109-VIKAS NAGAR'],['IND'],['0'],['Literate'],"['Rs\xa035,30,000~ 35\xa0Lacs+']",['Rs\xa00~']
['Raju Sachdeva'],['209-JAGAT PURI'],['BJP'],['0'],['10th Pass'],"['Rs\xa02,96,95,581~ 2\xa0Crore+']",['Rs\xa00~']
['Rajvir Sharma'],['181-MOLARBAND'],['INC'],['0'],['12th Pass'],"['Rs\xa02,75,56,000~ 2\xa0Crore+']",['Rs\xa00~']
['Rajvir Singh Dabas'],['127-NAJAFGARH'],['AAP'],['1'],['12th Pass'],"['Rs\xa010,28,75,787~ 10\xa0Crore+']","['Rs\xa029,38,610~ 29\xa0Lacs+']"
['Rajwati Chandela'],['102-KHYALA'],['INC'],['0'],['Illiterate'],"['Rs\xa04,90,62,021~ 4\xa0Crore+']",['Rs\xa00~']
['Rajwati Devi'],['65-ASHOK VIHAR'],['IND'],['0'],['Illiterate'],"['Rs\xa02,97,847~ 2\xa0Lacs+']",['Rs\xa00~']
['Rakesh'],['41-AMAN VIHAR'],['IND'],['0'],['10th Pass'],"['Rs\xa06,44,742~ 6\xa0Lacs+']","['Rs\xa01,91,000~ 1\xa0Lacs+']"
['Rakesh Devi'],['197-PATPAR GANJ'],['BSP'],['0'],['8th Pass'],"['Rs\xa02,01,06,272~ 2\xa0Crore+']",['Rs\xa00~']
['Rakesh Joshi'],['89-KARAM PURA'],['AAP'],['0'],['Graduate'],"['Rs\xa06,49,78,784~ 6\xa0Crore+']","['Rs\xa025,74,260~ 25\xa0Lacs+']"
['Rakesh Kumar Gullaiya'],['172-CHIRAG DELHI'],['BJP'],['0'],['12th Pass'],"['Rs\xa03,51,84,503~ 3\xa0Crore+']","['Rs\xa048,97,187~ 48\xa0Lacs+']"
['Rakesh Lohia'],['179-PUL PEHLADPUR'],['AAP'],['0'],['Graduate'],"['Rs\xa03,87,571~ 3\xa0Lacs+']",['Rs\xa00~']
['Rakesh Sharma'],['91-RAMESH NAGAR'],['IND'],['0'],['12th Pass'],"['Rs\xa011,51,000~ 11\xa0Lacs+']",['Rs\xa00~']
['Rakhi'],['11-TIMARPUR'],['IND'],['0'],['Literate'],"['Rs\xa02,35,000~ 2\xa0Lacs+']",['Rs\xa00~']
['Rakhi'],['212-GANDHI NAGAR'],['AAP'],['0'],['Illiterate'],"['Rs\xa072,23,788~ 72\xa0Lacs+']",['Rs\xa00~']
['Rakhi'],['124-NANGII SAKRAWATI'],['IND'],['0'],['10th Pass'],"['Rs\xa02,73,500~ 2\xa0Lacs+']",['Rs\xa00~']
['Rakhi Yadav'],['108-HASTSAL'],['AAP'],['0'],['Graduate'],"['Rs\xa05,75,71,237~ 5\xa0Crore+']",['Rs\xa00~']
['Ram Avtar'],['109-VIKAS NAGAR'],['BSP'],['0'],['12th Pass'],"['Rs\xa01,30,06,781~ 1\xa0Crore+']","['Rs\xa03,92,667~ 3\xa0Lacs+']"
['Ram Babu'],['202-SHAKARPUR'],['BSP'],['0'],['10th Pass'],"['Rs\xa03,69,96,754~ 3\xa0Crore+']","['Rs\xa04,35,000~ 4\xa0Lacs+']"
['Ram Babu'],['82-PAHAR GANJ'],['BSP'],['0'],['Illiterate'],"['Rs\xa06,23,500~ 6\xa0Lacs+']",['Rs\xa00~']
['Ram Baran Dohre'],['129-ROSHAN PURA'],['BSP'],['0'],['10th Pass'],"['Rs\xa051,83,920~ 51\xa0Lacs+']","['Rs\xa03,51,000~ 3\xa0Lacs+']"
['Ram Chander'],['28-SHAHBAAD DAIRY'],['AAP'],['0'],['8th Pass'],"['Rs\xa02,23,66,687~ 2\xa0Crore+']","['Rs\xa05,18,846~ 5\xa0Lacs+']"
['Ram Dev Sharma'],['79-BALLIMARAN'],['BJP'],['0'],['8th Pass'],"['Rs\xa066,90,88,962~ 66\xa0Crore+']","['Rs\xa08,32,55,736~ 8\xa0Crore+']"
['Ram Dhan'],['195-KALYANPURI'],['BSP'],['0'],['8th Pass'],"['Rs\xa087,15,500~ 87\xa0Lacs+']",['Rs\xa00~']
['Ram Gopal'],['28-SHAHBAAD DAIRY'],['IND'],['0'],['8th Pass'],"['Rs\xa04,55,000~ 4\xa0Lacs+']",['Rs\xa00~']
['Ram Kishore Sharma'],['202-SHAKARPUR'],['BJP'],['1'],['Graduate'],"['Rs\xa04,68,18,811~ 4\xa0Crore+']",['Rs\xa00~']
['Ram Kumar Tanwar'],['139-NARAINA'],['INC'],['0'],['Others'],"['Rs\xa076,17,578~ 76\xa0Lacs+']",['Rs\xa00~']
['Ram Niwas'],['121-DWARKA-A'],['BJP'],['0'],['10th Pass'],"['Rs\xa010,78,49,735~ 10\xa0Crore+']","['Rs\xa03,00,00,000~ 3\xa0Crore+']"
['Ram Prakash Sharma'],['8-MUKUNDPUR'],['IND'],['0'],['12th Pass'],"['Rs\xa012,06,022~ 12\xa0Lacs+']","['Rs\xa07,00,630~ 7\xa0Lacs+']"
['Ram Raj Tiwari'],['230-BHAJANPURA'],['BJP'],['0'],['8th Pass'],"['Rs\xa098,66,306~ 98\xa0Lacs+']","['Rs\xa057,00,000~ 57\xa0Lacs+']"
['Ram Sewak Upadhyay'],['248-KARAWAI NAGAR-WEST'],['IND'],['0'],['12th Pass'],"['Rs\xa021,30,000~ 21\xa0Lacs+']",['Rs\xa00~']
['Ram Sunder'],['28-SHAHBAAD DAIRY'],['BSP'],['0'],['12th Pass'],"['Rs\xa01,49,17,924~ 1\xa0Crore+']","['Rs\xa03,92,667~ 3\xa0Lacs+']"
