Candidate Name,Constituency,Party,Criminal_case,Education,Total_assets,Liabilities
['Naresh Arora'],['103-KESHOPUR'],['IND'],['0'],['Graduate'],"['Rs\xa01,18,95,153~ 1\xa0Crore+']","['Rs\xa042,86,408~ 42\xa0Lacs+']"
['Naresh Kumar'],['170-TUGHLAKABAD EXTENSION'],['IND'],['0'],['Graduate Professional'],"['Rs\xa018,01,257~ 18\xa0Lacs+']",['Rs\xa00~']
['Naresh Pal'],['238-SABOLI'],['INC'],['0'],['12th Pass'],"['Rs\xa082,30,722~ 82\xa0Lacs+']",['Rs\xa00~']
['Narinder Kaur Captain'],['175-KALKAJI'],['INC'],['0'],['12th Pass'],"['Rs\xa02,84,25,367~ 2\xa0Crore+']","['Rs\xa09,44,302~ 9\xa0Lacs+']"
['Narmada'],['58-SARASWATI VIHAR'],['BSP'],['0'],['12th Pass'],"['Rs\xa02,16,100~ 2\xa0Lacs+']",['Rs\xa00~']
['Naseem Bano'],['225-SEELAMPUR'],['AAP'],['0'],['12th Pass'],"['Rs\xa017,67,331~ 17\xa0Lacs+']",['Rs\xa00~']
['Naseerul Hasan'],['76-CHANDANI MAHAL'],['IND'],['0'],['Graduate'],"['Rs\xa010,800~ 10\xa0Thou+']",['Rs\xa00~']
['Nathu Ram Nagar'],['68-MODEL TOWN'],['AAP'],['0'],['8th Pass'],"['Rs\xa04,68,02,000~ 4\xa0Crore+']",['Rs\xa00~']
['Naveen Garg'],['21-ROHINI-A'],['BJP'],['0'],['12th Pass'],"['Rs\xa03,39,18,621~ 3\xa0Crore+']","['Rs\xa01,03,08,050~ 1\xa0Crore+']"
['Naveen Kumar Yadav'],['156-VASANT KUNJ'],['INC'],['0'],['Graduate'],"['Rs\xa04,72,58,735~ 4\xa0Crore+']","['Rs\xa067,63,281~ 67\xa0Lacs+']"
['Nazia Khatoon'],['245-BRIJ PURI'],['INC'],['0'],['8th Pass'],"['Rs\xa02,90,000~ 2\xa0Lacs+']",['Rs\xa00~']
['Naziya Danish'],['189-ZAKIR NAGAR'],['INC'],['0'],['Graduate'],"['Rs\xa058,93,846~ 58\xa0Lacs+']",['Rs\xa00~']
['Nazma Parveen'],['241-KARAWAL NAGAR-EAST'],['IND'],['0'],['5th Pass'],"['Rs\xa04,55,552~ 4\xa0Lacs+']",['Rs\xa00~']
['Nazra Begum'],['233-SUBHASH MOHALLA'],['INC'],['0'],['Graduate'],"['Rs\xa018,65,500~ 18\xa0Lacs+']",['Rs\xa00~']
['Neela Kumari'],['38-PREM NAGAR'],['BJP'],['0'],['Graduate'],"['Rs\xa034,40,248~ 34\xa0Lacs+']",['Rs\xa00~']
['Neelam'],['214-AZAD NAGAR'],['BJP'],['0'],['Graduate'],"['Rs\xa063,98,749~ 63\xa0Lacs+']","['Rs\xa02,08,000~ 2\xa0Lacs+']"
['Neelam'],['83-KAROI BAGH'],['BSP'],['0'],['8th Pass'],"['Rs\xa01,11,30,035~ 1\xa0Crore+']","['Rs\xa012,60,415~ 12\xa0Lacs+']"
['Neelam'],['128-DICHAON KALAN'],['BJP'],['0'],['Post Graduate'],"['Rs\xa08,53,68,694~ 8\xa0Crore+']","['Rs\xa028,10,000~ 28\xa0Lacs+']"
['Neelam Budhiraja'],['14-DHIRPUR'],['BJP'],['0'],['Graduate'],"['Rs\xa013,90,06,846~ 13\xa0Crore+']","['Rs\xa02,00,00,000~ 2\xa0Crore+']"
['Neelam Jha'],['199-MANDAWAII'],['IND'],['0'],['Illiterate'],"['Rs\xa016,38,409~ 16\xa0Lacs+']","['Rs\xa011,00,000~ 11\xa0Lacs+']"
['Neelam Khatri'],['2-BANKNER'],['BSP'],['0'],['Graduate Professional'],"['Rs\xa060,34,756~ 60\xa0Lacs+']",['Rs\xa00~']
